NUMEROTATION,TYPE_SOINS,REGION,NBR_ACCOUCH_ET_CESARIEN,NBR_CESARIENNES,NBR_NAISS_VIVANT,NBR_MORTINAISSANC,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE1 
1,Soins physiques et psychiatriques de courte durée,01 Bas-Saint-Laurent,1616,416,1640,2,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
2,Soins physiques et psychiatriques de courte durée,02 Saguenay-Lac-Saint-Jean,2547,615,2577,8,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
3,Soins physiques et psychiatriques de courte durée,03 Capitale-Nationale,7875,2351,7976,64,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
4,Soins physiques et psychiatriques de courte durée,04 Mauricie et Centre-du-Québec,4583,896,4617,16,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
5,Soins physiques et psychiatriques de courte durée,05 Estrie,4445,1022,4522,14,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
6,Soins physiques et psychiatriques de courte durée,06 Montréal,26862,7381,27189,177,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
7,Soins physiques et psychiatriques de courte durée,07 Outaouais,2622,616,2634,8,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
8,Soins physiques et psychiatriques de courte durée,08 Abitibi-Témiscamingue,1824,480,1851,4,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
9,Soins physiques et psychiatriques de courte durée,09 Côte-Nord,771,167,777,3,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
10,Soins physiques et psychiatriques de courte durée,10-17 ET 18,331,54,331,0,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
11,Soins physiques et psychiatriques de courte durée,11 Gaspésie-Îles-de-la-Madeleine,544,152,551,2,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
12,Soins physiques et psychiatriques de courte durée,12 Chaudière-Appalaches,3352,928,3382,11,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
13,Soins physiques et psychiatriques de courte durée,13 Laval,4004,810,4040,12,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
14,Soins physiques et psychiatriques de courte durée,14 Lanaudière,4181,948,4226,7,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
15,Soins physiques et psychiatriques de courte durée,15 Laurentides,4222,923,4268,15,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
16,Soins physiques et psychiatriques de courte durée,16 Montérégie,10726,2343,10820,24,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
17,Soins physiques et psychiatriques de courte durée,TOTAL PROVINCIAL,80505,20102,81401,367,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
