NUMEROTATION,TYPE_SOINS,REGION,NBR_ACCOUCH_ET_CESARIEN,NBR_CESARIENNES,NBR_NAISS_VIVANT,NBR_MORTINAISSANC,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE1 
1,Soins physiques et psychiatriques de courte durée,01--Bas-Saint-Laurent,1656,420,1679,4,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
2,Soins physiques et psychiatriques de courte durée,02--Saguenay - Lac-Saint-Jean,2650,625,2684,6,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
3,Soins physiques et psychiatriques de courte durée,03--Capitale-Nationale,8456,2475,8576,33,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
4,Soins physiques et psychiatriques de courte durée,04--Mauricie et Centre-du-Québec,4522,889,4551,19,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
5,Soins physiques et psychiatriques de courte durée,05--Estrie,2929,654,2973,12,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
6,Soins physiques et psychiatriques de courte durée,06--Montréal,27764,7439,28109,190,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
7,Soins physiques et psychiatriques de courte durée,07--Outaouais,2629,704,2650,4,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
8,Soins physiques et psychiatriques de courte durée,08--Abitibi-Témiscamingue,1820,500,1831,9,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
9,Soins physiques et psychiatriques de courte durée,09--Côte-Nord,815,174,828,3,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
10,Soins physiques et psychiatriques de courte durée,10  17 et 18,339,44,337,2,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
11,Soins physiques et psychiatriques de courte durée,11--Gaspésie - Îles-de-la-Madeleine,540,162,543,1,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
12,Soins physiques et psychiatriques de courte durée,12--Chaudière-Appalaches,3124,830,3152,6,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
13,Soins physiques et psychiatriques de courte durée,13--Laval,4062,847,4120,10,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
14,Soins physiques et psychiatriques de courte durée,14--Lanaudière,4214,973,4258,15,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
15,Soins physiques et psychiatriques de courte durée,15--Laurentides,4134,875,4175,8,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
16,Soins physiques et psychiatriques de courte durée,16--Montérégie,12296,2786,12418,35,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
17,Soins physiques et psychiatriques de courte durée,TOTAL PROVINCIAL,81950,20397,82884,357,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
18,Soins en chirurgie d'un jour,02--Saguenay - Lac-Saint-Jean,1,0,0,1,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
19,Soins en chirurgie d'un jour,TOTAL PROVINCIAL,1,0,0,1,S15 – Distribution des accouchements  césariennes  naissances vivantes  mortinaissances  selon la région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,LES INTERVENTIONS QUI CONSTITUENT DES ABANDONS SONT EXCLUES
